 Total Nb of available Diagnostics: ndiagt=   301
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   257 |ADVrTr04| 15 |       |WM      LR|molP/m.m^3/s    |Vertical   Advective Flux of dop
   258 |ADVxTr04| 15 |   259 |UU      MR|molP/m.m^3/s    |Zonal      Advective Flux of dop
   259 |ADVyTr04| 15 |   258 |VV      MR|molP/m.m^3/s    |Meridional Advective Flux of dop
   260 |DFrETr04| 15 |       |WM      LR|molP/m.m^3/s    |Vertical Diffusive Flux of dop (Explicit part)
   261 |DFxETr04| 15 |   262 |UU      MR|molP/m.m^3/s    |Zonal      Diffusive Flux of dop
   262 |DFyETr04| 15 |   261 |VV      MR|molP/m.m^3/s    |Meridional Diffusive Flux of dop
   263 |DFrITr04| 15 |       |WM      LR|molP/m.m^3/s    |Vertical Diffusive Flux of dop (Implicit part)
   264 |TRAC05  | 15 |       |SMR     MR|mol O/m         |Dissolved Oxygen concentration
   265 |UTRAC05 | 15 |   266 |UUr     MR|molO/m.m/s      |Zonal Mass-Weighted Transp of o2
   266 |VTRAC05 | 15 |   265 |VVr     MR|molO/m.m/s      |Merid Mass-Weighted Transp of o2
   267 |WTRAC05 | 15 |       |WM      MR|molO/m.m/s      |Vert  Mass-Weighted Transp of o2
   268 |ForcTr05| 15 |       |SMR     MR|molO/m/s        |o2 forcing tendency
   269 |AB_gTr05| 15 |       |SMR     MR|molO/m/s        |o2 tendency from Adams-Bashforth
   270 |ADVrTr05| 15 |       |WM      LR|molO/m.m^3/s    |Vertical   Advective Flux of o2
   271 |ADVxTr05| 15 |   272 |UU      MR|molO/m.m^3/s    |Zonal      Advective Flux of o2
   272 |ADVyTr05| 15 |   271 |VV      MR|molO/m.m^3/s    |Meridional Advective Flux of o2
   273 |DFrETr05| 15 |       |WM      LR|molO/m.m^3/s    |Vertical Diffusive Flux of o2 (Explicit part)
   274 |DFxETr05| 15 |   275 |UU      MR|molO/m.m^3/s    |Zonal      Diffusive Flux of o2
   275 |DFyETr05| 15 |   274 |VV      MR|molO/m.m^3/s    |Meridional Diffusive Flux of o2
   276 |DFrITr05| 15 |       |WM      LR|molO/m.m^3/s    |Vertical Diffusive Flux of o2 (Implicit part)
   277 |Add2EmP |  1 |       |SM      U1|kg/m^2/s        |additional EmP from salt relaxation
   278 |DICBIOA | 15 |       |SMRP    MR|mol/m3/sec      |Biological Productivity (mol/m3/s)
   279 |DICCARB | 15 |       |SMRP    MR|mol eq/m3/sec   |Carbonate chg-biol prod and remin (mol eq/m3/s)
   280 |DICTFLX |  1 |       |SM P    L1|mol/m3/sec      |Tendency of DIC due to air-sea exch (mol/m3/s)
   281 |DICOFLX |  1 |       |SM P    L1|mol/m3/sec      |Tendency of O2 due to air-sea exch (mol/m3/s)
   282 |DICCFLX |  1 |       |SM P    L1|mol/m2/sec      |Flux of CO2 - air-sea exch (mol/m2/s)
   283 |DICPCO2 |  1 |       |SM P    M1|atm             |Partial Pressure of CO2 (atm)
   284 |DICPHAV |  1 |       |SM P    M1|dimensionless   |pH (dimensionless)
   285 |GC_Tr01 | 15 |       |SMR     MR|mol C/m         |dic concentration before GCHEM
   286 |GC_Tr02 | 15 |       |SMR     MR|mol eq/         |alk concentration before GCHEM
   287 |GC_Tr03 | 15 |       |SMR     MR|mol P/m         |po4 concentration before GCHEM
   288 |GC_Tr04 | 15 |       |SMR     MR|mol P/m         |dop concentration before GCHEM
   289 |GC_Tr05 | 15 |       |SMR     MR|mol O/m         |o2 concentration before GCHEM
   290 |CPL_SLPr|  1 |       |SM      M1|Pa              |Atmos Sea-Level pressure anomaly (recv fr Coupler)
   291 |CPL_Qnet|  1 |       |SM      M1|W/m^2           |Net surface heat flux (+=up) (recv from Coupler)
   292 |CPL_Qsw |  1 |       |SM      M1|W/m^2           |Net shortwave heat flux (+=up)(recv from Coupler)
   293 |CPL_tauX|  1 |   294 |UM      M1|N/m^2           |Zonal  surface wind-stress (recv from Coupler)
   294 |CPL_tauY|  1 |   293 |UM      M1|N/m^2           |Merid. surface wind-stress (recv from Coupler)
   295 |CPL_FWat|  1 |       |SM      M1|kg/m^2/s        |Surface fresh-water flux (+=up)(recv from Coupler)
   296 |CPL_sFlx|  1 |       |SM      M1|g/m^2/s         |Salt flux from seaice comp (+=up)(recv fr Coupler)
   297 |CPL_iceM|  1 |       |SM      M1|kg/m^2          |Seaice mass       (recv from Coupler)
   298 |CPL_RnOf|  1 |       |SM      M1|kg/m^2/s        |river Run-Off (for DIC, +=down)(recv from Coupler)
   299 |CPL_aCO2|  1 |       |SM      M1|ppm             |Atmospheric CO2 (parts by vol)(recv from Coupler)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   300 |CPL_wSpd|  1 |       |SM      M1|m/s             |Atmospheric surf. wind speed (recv from Coupler)
   301 |CPL_icFr|  1 |       |SM P    M1|0-1             |Seaice fraction (Atmos, recv from Coupler)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
