 Total Nb of available Diagnostics: ndiagt=   282
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    98 |TOTTTEND|  5 |       |SMR     MR|K/day           |Tendency of Potential Temperature
    99 |TOTSTEND|  5 |       |SMR     MR|g/kg/day        |Tendency of Specific Humidity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |MoistCor|  5 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   101 |HeatDiss|  5 |       |SM      MR|W/m^2           |Heating from frictional dissipation
   102 |gT_Forc |  5 |       |SMR     MR|K/s             |Potential Temp. forcing tendency
   103 |gS_Forc |  5 |       |SMR     MR|g/kg/s          |Specific Humidity forcing tendency
   104 |AB_gT   |  5 |       |SMR     MR|K/s             |Potential Temp. tendency from Adams-Bashforth
   105 |AB_gS   |  5 |       |SMR     MR|g/kg/s          |Specific Humidity tendency from Adams-Bashforth
   106 |gTinAB  |  5 |       |SMR     MR|K/s             |Potential Temp. tendency going in Adams-Bashforth
   107 |gSinAB  |  5 |       |SMR     MR|g/kg/s          |Specific Humidity tendency going in Adams-Bashforth
   108 |AB_gU   |  5 |   109 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   109 |AB_gV   |  5 |   108 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   110 |AB_gW   |  5 |       |WM      LR|Pa/s^2          |W momentum tendency from Adams-Bashforth
   111 |ADVr_TH |  5 |       |WM      LR|K.Pa.m^2/s      |Vertical   Advective Flux of Pot.Temperature
   112 |ADVx_TH |  5 |   113 |UU      MR|K.Pa.m^2/s      |Zonal      Advective Flux of Pot.Temperature
   113 |ADVy_TH |  5 |   112 |VV      MR|K.Pa.m^2/s      |Meridional Advective Flux of Pot.Temperature
   114 |DFrE_TH |  5 |       |WM      LR|K.Pa.m^2/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   115 |DFxE_TH |  5 |   116 |UU      MR|K.Pa.m^2/s      |Zonal      Diffusive Flux of Pot.Temperature
   116 |DFyE_TH |  5 |   115 |VV      MR|K.Pa.m^2/s      |Meridional Diffusive Flux of Pot.Temperature
   117 |DFrI_TH |  5 |       |WM      LR|K.Pa.m^2/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   118 |ADVr_SLT|  5 |       |WM      LR|g/kg.Pa.m^2/s   |Vertical   Advective Flux of Water-Vapor
   119 |ADVx_SLT|  5 |   120 |UU      MR|g/kg.Pa.m^2/s   |Zonal      Advective Flux of Water-Vapor
   120 |ADVy_SLT|  5 |   119 |VV      MR|g/kg.Pa.m^2/s   |Meridional Advective Flux of Water-Vapor
   121 |DFrE_SLT|  5 |       |WM      LR|g/kg.Pa.m^2/s   |Vertical Diffusive Flux of Water-Vapor (Explicit part)
   122 |DFxE_SLT|  5 |   123 |UU      MR|g/kg.Pa.m^2/s   |Zonal      Diffusive Flux of Water-Vapor
   123 |DFyE_SLT|  5 |   122 |VV      MR|g/kg.Pa.m^2/s   |Meridional Diffusive Flux of Water-Vapor
   124 |DFrI_SLT|  5 |       |WM      LR|g/kg.Pa.m^2/s   |Vertical Diffusive Flux of Water-Vapor (Implicit part)
   125 |SALTFILL|  5 |       |SM      MR|g/kg.Pa.m^2/s   |Filling of Negative Values of Water-Vapor
   126 |VISCAHZ |  5 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   127 |VISCA4Z |  5 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   128 |VISCAHD |  5 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   129 |VISCA4D |  5 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   130 |VISCAHW |  5 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   131 |VISCA4W |  5 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   132 |VAHZMAX |  5 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   133 |VA4ZMAX |  5 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   134 |VAHDMAX |  5 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   135 |VA4DMAX |  5 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   136 |VAHZMIN |  5 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   137 |VA4ZMIN |  5 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   138 |VAHDMIN |  5 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   139 |VA4DMIN |  5 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   140 |VAHZLTH |  5 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   141 |VA4ZLTH |  5 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   142 |VAHDLTH |  5 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   143 |VA4DLTH |  5 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   144 |VAHZLTHD|  5 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   145 |VA4ZLTHD|  5 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   146 |VAHDLTHD|  5 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   147 |VA4DLTHD|  5 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   148 |VAHZSMAG|  5 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   149 |VA4ZSMAG|  5 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   150 |VAHDSMAG|  5 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   151 |VA4DSMAG|  5 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   152 |momKE   |  5 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   153 |momHDiv |  5 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   154 |momVort3|  5 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   155 |Strain  |  5 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   156 |Tension |  5 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   157 |UBotDrag|  5 |   158 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   158 |VBotDrag|  5 |   157 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   159 |USidDrag|  5 |   160 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   160 |VSidDrag|  5 |   159 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   161 |Um_Diss |  5 |   162 |UUR     MR|m/s^2           |U momentum tendency from Dissipation
   162 |Vm_Diss |  5 |   161 |VVR     MR|m/s^2           |V momentum tendency from Dissipation
   163 |Um_Advec|  5 |   164 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   164 |Vm_Advec|  5 |   163 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   165 |Um_Cori |  5 |   166 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   166 |Vm_Cori |  5 |   165 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   167 |Um_dPHdx|  5 |   168 |UUR     MR|m/s^2           |U momentum tendency from Hydrostatic Pressure grad
   168 |Vm_dPHdy|  5 |   167 |VVR     MR|m/s^2           |V momentum tendency from Hydrostatic Pressure grad
   169 |Um_Ext  |  5 |   170 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   170 |Vm_Ext  |  5 |   169 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   171 |Um_AdvZ3|  5 |   172 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   172 |Vm_AdvZ3|  5 |   171 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   173 |Um_AdvRe|  5 |   174 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   174 |Vm_AdvRe|  5 |   173 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   175 |Wm_Diss |  5 |       |WMr     LR|Pa/s^2          |W momentum tendency from Dissipation
   176 |Wm_Advec|  5 |       |WMr     LR|Pa/s^2          |W momentum tendency from Advection terms
   177 |WSidDrag|  5 |       |WMr     LR|Pa/s^2          |Vertical momentum tendency from Side Drag
   178 |VISrI_Um|  5 |       |WU      LR|Pa.m^3/s^2      |Vertical   Viscous Flux of U momentum (Implicit part)
   179 |VISrI_Vm|  5 |       |WV      LR|Pa.m^3/s^2      |Vertical   Viscous Flux of V momentum (Implicit part)
   180 |SHAP_dT |  5 |       |SMR     MR|K/s             |Temperature Tendency due to Shapiro Filter
   181 |SHAP_dS |  5 |       |SMR     MR|g/kg/s          |Specific Humidity Tendency due to Shapiro Filter
   182 |SHAP_dU |  5 |   183 |UUR     MR|m/s^2           |Zonal Wind Tendency due to Shapiro Filter
   183 |SHAP_dV |  5 |   182 |VVR     MR|m/s^2           |Meridional Wind Tendency due to Shapiro Filter
   184 |SHAP_dKE|  5 |       |SMr     MR|m^2/s^3         |Kinetic Energy Tendency due to Shapiro Filter (Mass Weighted)
   185 |SI_Fract|  1 |       |SM P    M1|0-1             |Sea-Ice fraction  [0-1]
   186 |SI_Thick|  1 |   185 |SM PC   M1|m               |Sea-Ice thickness (area weighted average)
   187 |SI_SnowH|  1 |   185 |SM PC   M1|m               |Snow thickness over Sea-Ice (area weighted)
   188 |SI_Tsrf |  1 |   185 |SM  C   M1|degC            |Surface Temperature over Sea-Ice (area weighted)
   189 |SI_Tice1|  1 |   185 |SM  C   M1|degC            |Sea-Ice Temperature, 1srt layer (area weighted)
   190 |SI_Tice2|  1 |   185 |SM  C   M1|degC            |Sea-Ice Temperature, 2nd  layer (area weighted)
   191 |SI_Qice1|  1 |   186 |SM  C   M1|J/kg            |Sea-Ice enthalpy, 1srt layer (mass weighted)
   192 |SI_Qice2|  1 |   186 |SM  C   M1|J/kg            |Sea-Ice enthalpy, 2nd  layer (mass weighted)
   193 |SIsnwAge|  1 |       |SM P    M1|s               |snow age over Sea-Ice
   194 |SIalbedo|  1 |   185 |SM PC   M1|0-1             |Sea-Ice Albedo [0-1] (area weighted average)
   195 |SIsnwPrc|  1 |   185 |SM  C   M1|kg/m^2/s        |snow precip. (+=dw) over Sea-Ice (area weighted)
   196 |SIflxAtm|  1 |       |SM      M1|W/m^2           |net heat flux from the Atmosphere (+=dw)
   197 |SIfrwAtm|  1 |       |SM      M1|kg/m^2/s        |fresh-water flux to the Atmosphere (+=up)
   198 |SIflx2oc|  1 |       |SM      M1|W/m^2           |heat flux out of the ocean (+=up)
   199 |SIfrw2oc|  1 |       |SM      M1|kg/m^2/s        |fresh-water flux out of the ocean (+=up)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |SIsaltFx|  1 |       |SM      M1|psu.kg/m^2/s    |salt flux out of the ocean (+=up)
   201 |SItOcMxL|  1 |       |SM      M1|degC            |ocean mixed layer temperature
   202 |SIsOcMxL|  1 |       |SM P    M1|psu             |ocean mixed layer salinity
   203 |ADVxSIfr|  1 |   204 |UU      M1|m^2/s           |Zonal      Advective Flux of SeaIce Fraction
   204 |ADVySIfr|  1 |   203 |VV      M1|m^2/s           |Meridional Advective Flux of SeaIce Fraction
   205 |ADVxSIhs|  1 |   206 |UU      M1|m^3/s           |Zonal      Advective Flux of Snow Thickness
   206 |ADVySIhs|  1 |   205 |VV      M1|m^3/s           |Meridional Advective Flux of Snow Thickness
   207 |ADVxSIhi|  1 |   208 |UU      M1|m^3/s           |Zonal      Advective Flux of SeaIce Thickness
   208 |ADVySIhi|  1 |   207 |VV      M1|m^3/s           |Meridional Advective Flux of SeaIce Thickness
   209 |ADVxSIq1|  1 |   210 |UU      M1|J/kg.m^3/s      |Zonal      Advective Flux of Ice enthalpy l=1
   210 |ADVySIq1|  1 |   209 |VV      M1|J/kg.m^3/s      |Meridional Advective Flux of Ice enthalpy l=1
   211 |ADVxSIq2|  1 |   212 |UU      M1|J/kg.m^3/s      |Zonal      Advective Flux of Ice enthalpy l=2
   212 |ADVySIq2|  1 |   211 |VV      M1|J/kg.m^3/s      |Meridional Advective Flux of Ice enthalpy l=2
   213 |SI_AdvFr|  1 |       |SM P    M1|0-1             |Sea-Ice fraction  [0-1] (before advection)
   214 |SI_AdvHi|  1 |   213 |SM PC   M1|m               |Sea-Ice thickness (before advection)
   215 |SI_AdvHs|  1 |   213 |SM PC   M1|m               |Snow thickness over Sea-Ice (before advection)
   216 |SI_AdvQ1|  1 |   214 |SM  C   M1|J/kg            |Sea-Ice enthalpy, 1srt layer (before advection)
   217 |SI_AdvQ2|  1 |   214 |SM  C   M1|J/kg            |Sea-Ice enthalpy, 2nd  layer (before advection)
   218 |GrdSurfT|  1 |       |SM      Lg|degC            |Surface Temperature over land
   219 |GrdTemp |  2 |       |SM      MG|degC            |Ground Temperature at each level
   220 |GrdEnth |  2 |       |SM      MG|J/m3            |Ground Enthalpy at each level
   221 |GrdWater|  2 |       |SM P    MG|0-1             |Ground Water (vs Field Capacity) Fraction at each level
   222 |LdSnowH |  1 |       |SM P    Lg|m               |Snow Thickness over land
   223 |LdSnwAge|  1 |       |SM P    Lg|s               |Snow Age over land
   224 |RUNOFF  |  1 |       |SM      L1|kg/m2/s         |Run-Off per surface unit
   225 |EnRunOff|  1 |       |SM      L1|W/m^2           |Energy flux associated with run-Off
   226 |landHFlx|  1 |       |SM      Lg|W/m^2           |net surface downward Heat flux over land
   227 |landPmE |  1 |       |SM      Lg|kg/m^2/s        |Precipitation minus Evaporation over land
   228 |ldEnFxPr|  1 |       |SM      Lg|W/m^2           |Energy flux (over land) associated with Precip (snow,rain)
   229 |DIABT   |  5 |       |SMr     MR|K/s             |Pot. Temp.  Tendency (Mass-Weighted) from Diabatic Processes
   230 |DIABQ   |  5 |       |SMr     MR|g/kg/s          |Spec.Humid. Tendency (Mass-Weighted) from Diabatic Processes
   231 |RADSW   |  5 |       |SM      ML|K/s             |Temperature Tendency due to Shortwave Radiation (TT_RSW)
   232 |RADLW   |  5 |       |SM      ML|K/s             |Temperature Tendency due to Longwave  Radiation (TT_RLW)
   233 |DTCONV  |  5 |       |SM      ML|K/s             |Temperature Tendency due to Convection (TT_CNV)
   234 |TURBT   |  5 |       |SM      ML|K/s             |Temperature Tendency due to Turbulence in PBL (TT_PBL)
   235 |DTLS    |  5 |       |SM      ML|K/s             |Temperature Tendency due to Large-scale condens. (TT_LSC)
   236 |DQCONV  |  5 |       |SM      MR|g/kg/s          |Spec. Humidity Tendency due to Convection (QT_CNV)
   237 |TURBQ   |  5 |       |SM      ML|g/kg/s          |Spec. Humidity Tendency due to Turbulence in PBL (QT_PBL)
   238 |DQLS    |  5 |       |SM      ML|g/kg/s          |Spec. Humidity Tendency due to Large-Scale Condens. (QT_LSC)
   239 |TSR     |  1 |       |SM P    U1|W/m^2           |Top-of-atm. net Shortwave Radiation (+=dw)
   240 |OLR     |  1 |       |SM P    U1|W/m^2           |Outgoing Longwave  Radiation (+=up)
   241 |RADSWG  |  1 |       |SM P    L1|W/m^2           |Net Shortwave Radiation at the Ground (+=dw)
   242 |RADLWG  |  1 |       |SM      L1|W/m^2           |Net Longwave  Radiation at the Ground (+=up)
   243 |HFLUX   |  1 |       |SM      L1|W/m^2           |Sensible Heat Flux (+=up)
   244 |EVAP    |  1 |       |SM      L1|g/m^2/s         |Surface Evaporation (g/m2/s)
   245 |PRECON  |  1 |       |SM P    L1|g/m^2/s         |Convective  Precipitation (g/m2/s)
   246 |PRECLS  |  1 |       |SM      M1|g/m^2/s         |Large Scale Precipitation (g/m2/s)
   247 |CLDCLW  |  5 |       |SM P    ML|0-1             |Local Cloud Fraction (0-1)
   248 |CLDFRC  |  1 |       |SM P    M1|0-1             |Total Cloud Fraction (0-1)
   249 |CLDPRS  |  1 |   248 |SM PC   M1|0-1             |Cloud Top Pressure (normalized)
   250 |CLDMAS  |  1 |       |SM P    L1|kg/m^2/s        |Cloud-base Mass Flux  (kg/m^2/s)
   251 |DRAG    |  1 |       |SM P    L1|kg/m^2/s        |Surface Drag Coefficient (kg/m^2/s)
   252 |WINDS   |  1 |       |SM P    L1|m/s             |Surface Wind Speed  (m/s)
   253 |TS      |  1 |       |SM      L1|K               |near Surface Air Temperature  (K)
   254 |QS      |  1 |       |SM P    L1|g/kg            |near Surface Specific Humidity  (g/kg)
   255 |ENPREC  |  1 |       |SM      M1|W/m^2           |Energy flux associated with precip. (snow, rain Temp)
   256 |ALBVISDF|  1 |       |SM P    L1|0-1             |Surface Albedo (Visible band) (0-1)
